<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.AAPL,D,20210720,000000,143.1100000,147.0900000,142.5200000,146.1300000,22938600
SPBEX.AAPL,D,20210721,000000,146.1300000,147.0000000,144.6400000,145.3900000,14747740
SPBEX.AAPL,D,20210722,000000,145.3600000,148.1900000,145.2700000,147.0900000,12749886
SPBEX.AAPL,D,20210723,000000,147.1000000,148.7200000,146.9200000,148.3000000,13222296
SPBEX.AAPL,D,20210724,000000,148.3100000,148.3100000,148.1200000,148.1900000,14468
SPBEX.AAPL,D,20210726,000000,148.2000000,149.8300000,147.4600000,149.2100000,17158478
SPBEX.AAPL,D,20210727,000000,149.2400000,149.5000000,145.1000000,145.4800000,21685350
SPBEX.AAPL,D,20210728,000000,145.4800000,146.9500000,142.5000000,145.1800000,15286175
SPBEX.AAPL,D,20210729,000000,145.2000000,146.6900000,144.3000000,144.8200000,12327745
SPBEX.AAPL,D,20210730,000000,144.8200000,146.3300000,143.8000000,145.8700000,16921378
SPBEX.AAPL,D,20210731,000000,145.9000000,145.9200000,145.8000000,145.8400000,4080
SPBEX.AAPL,D,20210802,000000,145.9900000,147.5000000,145.2500000,145.3500000,11952067
SPBEX.AAPL,D,20210803,000000,145.3200000,148.0400000,145.1800000,147.3800000,13086332
SPBEX.AAPL,D,20210804,000000,147.3600000,147.7800000,146.2800000,146.8400000,12588826
SPBEX.AAPL,D,20210805,000000,146.8500000,147.8400000,146.0000000,146.9600000,10348995
SPBEX.AAPL,D,20210806,000000,146.9600000,147.5000000,145.6300000,146.0100000,12964538
SPBEX.AAPL,D,20210807,000000,146.0000000,146.0100000,145.9100000,145.9400000,12174
SPBEX.AAPL,D,20210809,000000,146.0000000,146.8000000,144.3000000,146.0400000,10395842
SPBEX.AAPL,D,20210810,000000,146.0500000,147.7100000,145.3000000,145.5800000,16781467
SPBEX.AAPL,D,20210811,000000,145.5800000,146.7100000,145.0000000,145.7300000,10220771
SPBEX.AAPL,D,20210812,000000,145.7200000,149.0500000,145.4100000,148.9900000,16515475
SPBEX.AAPL,D,20210813,000000,148.9900000,149.4400000,148.2700000,148.9800000,11158890
SPBEX.AAPL,D,20210814,000000,148.9900000,149.0000000,148.8200000,148.9100000,4265
SPBEX.AAPL,D,20210816,000000,148.8000000,151.5900000,146.4700000,151.4200000,20230710
SPBEX.AAPL,D,20210817,000000,151.4100000,151.5500000,150.2000000,150.6600000,40858
